volid	diff	alien	original	firstpub	colour	author	title
inu.30000061597831	-0.0274405795744	0.366207537179	0.360445015468	1959	gray	Bradbury, Ray	Twice twenty-two
mdp.39015002189283	-1.79065630157	0.729198841517	0.353161018188	1955	gray	Golding, William	Lord of the flies, | a novel.
mdp.39015003498436	0.673311270594	0.425604630273	0.566999997098	1965	gray	nan	The Magazine of fantasy and science fiction : | a 30-year retrospective
mdp.39015003922005	0.994679365248	0.407835692401	0.616718359104	1961	black	Heinlein, Robert A. (Robert Anson)	Stranger in a strange land.
mdp.39015004760586	-0.186921097141	0.774787115304	0.735533684904	1945	gray	Wollheim, Donald A	The portable novels of science,
mdp.39015007043006	0.709593399066	0.594200149584	0.743214763387	1942	gray	Heinlein, Robert A. (Robert Anson)	Beyond this horizon.
mdp.39015008161781	-0.169935441652	0.747335512203	0.711649069456	1958	gray	Anderson, Poul	War of the wing-men.
mdp.39015008724802	0.968220253955	0.444707181953	0.648033435283	1967	black	Merril, Judith	SF; the best of the best.
mdp.39015008828157	-0.938101838781	0.830346364786	0.633344978641	1950	black	Vance, Jack	The dying earth
mdp.39015014136587	-0.144209458147	0.783269605722	0.752985619511	1956	gray	Pohl, Frederik	Undersea fleet
mdp.39015014165461	0.118740805245	0.745453071918	0.770388641019	1948	gray	nan	A treasury of science fiction
mdp.39015016466511	-0.140053462429	0.78616742542	0.75675619831	1964	gray	Aldiss, Brian Wilson	The dark light-years
mdp.39015020680917	0.329810252072	0.684940215314	0.754200368249	1963	gray	Simak, Clifford D	Way station
mdp.39015029191478	-0.0733862154376	0.749587306491	0.734176201249	1957	gray	Silverberg, Robert	The collected stories of Robert Silverberg.
mdp.39015029502112	0.257869669133	0.431978825535	0.486131456053	1944	gray	Huxley, Aldous	Time must have a stop
mdp.39015029750877	0.704114168751	0.564932185165	0.712796160603	1954	gray	Hubbard, L. Ron (La Fayette Ron)	Return to tomorrow
mdp.39015033397988	-0.457502899971	0.801247945079	0.705172336085	1946	gray	Werfel, Franz	Star of the unborn, | $c: [by] Franz Werfel. Translated by Gustave O. Arlt.
mdp.39015052467530	0.188000442233	0.619749634923	0.659229727792	1969	black	Le Guin, Ursula K	The left hand of darkness
mdp.39015066050850	0.618265436671	0.356360601349	0.48619634305	1952	black	Vonnegut, Kurt	Player piano.
uc1.$b57115	-0.671705717145	0.81595917477	0.67490097417	1940	gray	Noyes, Alfred	No other man
uc1.$b601378	0.324932883606	0.587711141628	0.655947047185	1947	gray	Haines, William Wister	Command decision, | $c: by William Wister Haines ...
